Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
58	20.5	5.4390564	29.0	14.0	3.9	7.8032045	20.0	0.0	1687.3334	14709.6	580000	0.1742841	0.39006034	1.829487	-0.79625255	0.17429382	0.3900065	1.8316755	-0.74169314	1.1032801	1.0986121	0.0026981165	-0.16466673	0.0016866821	0.0016994529	-0.027791614	20742.520647525787
59	24.666666	9.42809	38.0	12.0	23.3	4.243819	30.0	18.0	1687.5	1884.8	590000	0.18269564	0.40119797	1.8678002	-0.7934785	0.18268774	0.4010756	1.9868934	-0.8326266	1.0993637	1.0986121	0.0025902055	-0.17296012	0.0016415967	0.001698475	-0.004496424	21025.340976953506
60	22.166666	7.2437716	32.0	10.0	24.4	5.678028	30.0	15.0	1554.5	1875.1	600000	0.19575	0.40866345	1.9423504	-0.75428635	0.1957749	0.40856296	1.7929078	-0.7605877	1.0975817	1.0986121	0.0025477565	-0.1856142	0.0016715565	0.0017006494	0.0062353783	21291.384813785553
61	22.666666	5.120764	30.0	15.0	20.8	5.5461698	32.0	15.0	1669.8334	1705.1	610000	0.21570362	0.4123962	1.8194381	-0.77099234	0.21569481	0.4123489	1.9567313	-0.82503086	1.0980852	1.0986121	0.0026969332	-0.2059692	0.0016392479	0.0016732416	0.003196723	21564.347255706787
62	22.166666	4.9469404	31.0	16.0	3.5	7.0887237	20.0	0.0	1676.3334	14703.8	620000	0.23204246	0.41792637	1.9406887	-0.7883843	0.2320385	0.41783255	1.9259027	-0.77822423	1.0987477	1.0986121	0.0025122417	-0.2217661	0.0016477912	0.0016757336	-0.0007833851	22194.38528895378
63	23.4	5.535341	30.0	15.0	3.0	9.0	30.0	0.0	1840.0	16441.1	630000	0.24188623	0.4291862	1.9912014	-0.87529916	0.24188079	0.42907992	2.0846956	-0.9101676	1.0901244	1.0986121	0.0026841613	-0.23157153	0.0016792062	0.0017192122	0.050288834	22857.35777950287
64	27.8	14.496897	55.0	15.0	2.0	6.0	20.0	0.0	2136.8	16359.2	640000	0.24849094	0.432734	1.9914694	-0.9387	0.24848852	0.4326466	2.086732	-0.9485049	1.1009986	1.0986122	0.0027622255	-0.23808405	0.0016803816	0.0017156249	-0.013989785	23559.9722802639
65	22.333334	5.7057476	30.0	15.0	26.5	6.3600316	39.0	15.0	1822.1666	1858.5	650000	0.25603357	0.44001245	1.9585481	-0.8656795	0.25603598	0.43996453	1.9723192	-0.8900919	1.1006979	1.0986121	0.0026462162	-0.2454437	0.001676851	0.0016981964	-0.012316277	23853.507752418518
66	20.666666	8.279828	30.0	5.0	22.7	4.9809637	29.0	15.0	1612.6666	1764.0	660000	0.2649746	0.4418433	2.0546086	-0.8919748	0.26496056	0.44175017	2.0528266	-0.92836994	1.0999172	1.0986121	0.0028233514	-0.2546209	0.0016271148	0.0016629348	-0.007758872	24121.192929506302
67	22.0	8.082904	30.0	7.0	4.7	9.5294285	27.0	0.0	1654.5	14767.0	670000	0.2712126	0.44596502	2.0133395	-0.8421067	0.27122983	0.44589937	2.041631	-0.8467155	1.0941542	1.0986121	0.0027144533	-0.26060364	0.0016250549	0.0016497753	0.026445067	24767.303641319275
68	21.666666	4.955356	30.0	15.0	21.3	6.0506196	30.0	14.0	1686.1666	1607.6	680000	0.27705362	0.44971913	2.2424598	-0.85911185	0.27702075	0.44964537	2.1972787	-0.837497	1.1004323	1.0986121	0.002752099	-0.26657677	0.0016062569	0.0016446763	-0.010714236	25038.496614217758
